[OVERALL], RunTime(ms), 46349
[OVERALL], Throughput(ops/sec), 64.72631556236381
[TOTAL_GCS_Copy], Count, 29
[TOTAL_GC_TIME_Copy], Time(ms), 276
[TOTAL_GC_TIME_%_Copy], Time(%), 0.5954821031737471
[TOTAL_GCS_MarkSweepCompact], Count, 2
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 143
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.30852877084726743
[TOTAL_GCs], Count, 31
[TOTAL_GC_TIME], Time(ms), 419
[TOTAL_GC_TIME_%], Time(%), 0.9040108740210144
[READ], Total Operations, 2855
[READ], Below is a summary of latency in microseconds:, -1
[READ], Average, 559259.4395796848
[READ], Min, 409746
[READ], Max, 1524331
[READ], p1, 423744
[READ], p5, 437738
[READ], p50, 525880
[READ], p90, 706196
[READ], p95, 763412
[READ], p99, 1208832
[READ], p99.9, 1500833
[READ], p99.99, 1524331
[READ], Return=OK, 2855
[CLEANUP], Total Operations, 50
[CLEANUP], Below is a summary of latency in microseconds:, -1
[CLEANUP], Average, 0.28
[CLEANUP], Min, 0
[CLEANUP], Max, 3
[CLEANUP], p1, 0
[CLEANUP], p5, 0
[CLEANUP], p50, 0
[CLEANUP], p90, 1
[CLEANUP], p95, 1
[CLEANUP], p99, 3
[CLEANUP], p99.9, 3
[CLEANUP], p99.99, 3
[UPDATE], Total Operations, 145
[UPDATE], Below is a summary of latency in microseconds:, -1
[UPDATE], Average, 592618.1586206896
[UPDATE], Min, 413874
[UPDATE], Max, 1504814
[UPDATE], p1, 421791
[UPDATE], p5, 441961
[UPDATE], p50, 556562
[UPDATE], p90, 709909
[UPDATE], p95, 805064
[UPDATE], p99, 1394438
[UPDATE], p99.9, 1504814
[UPDATE], p99.99, 1504814
[UPDATE], Return=OK, 145
